HomeTeam,AwayTeam,HxG,AxG
Man United,Leeds,4.77743,1.63467
Tottenham,Leicester,0.945932,1.74772
West Brom,Aston Villa,0.0388442,2.61964
Burnley,Wolves,1.20465,1.45722
Chelsea,West Ham,2.41157,0.277737
Arsenal,Chelsea,1.94485,2.25414
Aston Villa,Crystal Palace,4.58214,0.849086
Fulham,Southampton,0.781855,0.119709
Leicester,Man United,1.0396,2.08423
Man City,Newcastle,3.19575,0.200953
Sheffield United,Everton,1.25106,0.568803
Leeds,Burnley,2.13271,1.54591
Liverpool,West Brom,1.45485,0.739845
West Ham,Brighton,1.38877,1.50551
Wolves,Tottenham,0.742598,0.408109
Chelsea,Aston Villa,1.53701,0.730859
Crystal Palace,Leicester,0.321348,1.72132
Brighton,Arsenal,0.799368,1.31394
Burnley,Sheffield United,0.973831,0.492578
Man United,Wolves,1.48207,0.411046
Southampton,West Ham,0.670996,1.07246
West Brom,Leeds,0.43551,1.54225
Newcastle,Liverpool,0.817935,1.32047
Everton,West Ham,0.371045,1.19713
Man United,Aston Villa,2.46473,1.56434
Brighton,Wolves,2.4228,1.81856
Crystal Palace,Sheffield United,0.598888,0.323158
Tottenham,Leeds,2.5286,1.15626
West Brom,Arsenal,0.869874,4.03429
Chelsea,Man City,0.691013,3.18063
Newcastle,Leicester,0.264584,0.702081
Southampton,Liverpool,0.500436,1.37204
Burnley,Man United,0.648582,1.23996
Sheffield United,Newcastle,2.01315,1.04745
Wolves,Everton,0.852495,0.323445
Man City,Brighton,2.90855,0.177084
Tottenham,Fulham,3.14372,1.05329
Arsenal,Crystal Palace,0.368554,0.709634
Fulham,Chelsea,0.46126,1.37939
Leeds,Brighton,0.245193,1.14424
Leicester,Southampton,2.12019,0.378147
West Ham,Burnley,1.73397,0.395668
Wolves,West Brom,1.94358,2.46332
Liverpool,Man United,1.20205,1.18929
Man City,Crystal Palace,0.961088,0.0515836
Sheffield United,Tottenham,0.978133,1.28385
Arsenal,Newcastle,2.30744,0.168796
Leicester,Chelsea,1.1449,0.615727
West Ham,West Brom,2.17512,0.464091
Fulham,Man United,0.753669,1.68401
Man City,Aston Villa,3.34385,0.601768
Liverpool,Burnley,1.64907,1.08059
Aston Villa,Newcastle,2.6026,0.400364
Crystal Palace,West Ham,0.629033,3.30321
Newcastle,Leeds,1.1364,0.785914
Southampton,Arsenal,0.99504,2.4339
West Brom,Man City,0.568258,2.24838
Brighton,Fulham,2.29129,0.513226
Burnley,Aston Villa,0.717681,2.70718
Chelsea,Wolves,0.663324,0.63192
Everton,Leicester,0.474981,0.792045
Man United,Sheffield United,0.9931,0.689548
Tottenham,Liverpool,0.104586,2.58798
Arsenal,Man United,0.747166,1.51332
Crystal Palace,Wolves,1.36877,0.450907
Everton,Newcastle,0.966012,2.08832
Man City,Sheffield United,1.53116,0.154537
Southampton,Aston Villa,2.22557,0.795508
West Brom,Fulham,0.994664,1.52044
Brighton,Tottenham,1.77386,0.372524
Chelsea,Burnley,1.4405,0.390714
Leicester,Leeds,1.73432,1.8141
West Ham,Liverpool,0.883061,2.05809
Man United,Southampton,5.0325,0.507893
Newcastle,Crystal Palace,1.90755,0.809312
Sheffield United,West Brom,1.35804,1.61871
Wolves,Arsenal,1.56162,0.716265
Aston Villa,West Ham,0.741154,1.79064
Burnley,Man City,0.0489155,2.12153
Fulham,Leicester,0.731288,1.71299
Leeds,Everton,1.14303,1.91539
Liverpool,Brighton,1.09518,1.18977
Tottenham,Chelsea,0.569446,2.393
Aston Villa,Arsenal,1.19792,0.679649
Burnley,Brighton,1.88934,0.612682
Fulham,West Ham,1.60884,0.943539
Man United,Everton,1.71769,1.5571
Newcastle,Southampton,0.910553,1.43445
Liverpool,Man City,1.17728,3.55196
Sheffield United,Chelsea,0.623045,1.64144
Tottenham,West Brom,1.92997,0.698686
Wolves,Leicester,1.35506,0.632232
Leeds,Crystal Palace,2.64769,0.370278
Brighton,Aston Villa,2.33232,0.144036
Crystal Palace,Burnley,0.645616,1.95502
Leicester,Liverpool,2.07383,1.68325
Man City,Tottenham,2.46219,0.4235
Arsenal,Leeds,2.50614,0.77074
Everton,Fulham,0.314075,2.55085
Southampton,Wolves,0.8536,1.09361
West Brom,Man United,0.945964,0.423885
Chelsea,Newcastle,2.5428,0.432603
West Ham,Sheffield United,2.32735,0.926652
Burnley,Fulham,1.20642,0.594471
Everton,Man City,1.04664,1.23218
Wolves,Leeds,0.592049,2.4793
Burnley,West Brom,0.535153,1.71922
Fulham,Sheffield United,1.21006,0.977747
Liverpool,Everton,1.54046,2.01468
Southampton,Chelsea,0.496603,1.44849
Arsenal,Man City,0.331188,2.08868
Aston Villa,Leicester,1.7084,1.23852
Man United,Newcastle,1.7256,0.341778
West Ham,Tottenham,1.09246,0.770706
Brighton,Crystal Palace,2.59204,0.179886
Leeds,Southampton,1.84753,1.47981
Leeds,Aston Villa,1.00106,0.876255
Man City,West Ham,0.760574,1.92892
Newcastle,Wolves,1.9519,1.27827
West Brom,Brighton,0.687091,3.12111
Chelsea,Man United,1.17294,0.35954
Crystal Palace,Fulham,0.0880148,0.813134
Leicester,Arsenal,0.533575,2.1065
Sheffield United,Liverpool,0.777149,2.80551
Tottenham,Burnley,2.35788,0.603212
Everton,Southampton,1.42054,0.665743
Man City,Wolves,3.26196,0.318824
Burnley,Leicester,1.26793,1.24109
Crystal Palace,Man United,0.742397,0.584016
Sheffield United,Aston Villa,0.716254,1.44176
Fulham,Tottenham,1.1715,1.5519
Liverpool,Chelsea,0.247034,1.22635
West Brom,Everton,1.02038,1.40789
Aston Villa,Wolves,0.956392,2.15087
Brighton,Leicester,0.75471,1.03801
Burnley,Arsenal,1.10374,2.53692
Sheffield United,Southampton,0.908155,2.37386
Liverpool,Fulham,0.701764,1.37047
Man City,Man United,1.27561,2.11411
Tottenham,Crystal Palace,2.24159,0.559383
West Brom,Newcastle,1.46503,0.454577
Chelsea,Everton,2.57224,0.270757
West Ham,Leeds,2.37556,1.34971
Man City,Southampton,3.10503,1.60561
Newcastle,Aston Villa,0.873171,0.748665
Crystal Palace,West Brom,1.30694,0.513439
Everton,Burnley,1.69849,0.74852
Fulham,Man City,0.449499,2.72578
Leeds,Chelsea,0.382957,0.971054
Arsenal,Tottenham,1.56529,0.705566
Leicester,Sheffield United,4.54571,0.0934777
Man United,West Ham,1.70128,0.463737
Southampton,Brighton,1.03495,0.895967
Wolves,Liverpool,1.29175,1.0552
Fulham,Leeds,1.47498,1.40706
Brighton,Newcastle,0.951921,0.100945
Aston Villa,Tottenham,0.439681,1.72011
West Ham,Arsenal,2.50629,1.35217
Arsenal,Liverpool,0.161161,2.43732
Chelsea,West Brom,2.55917,1.38315
Leeds,Sheffield United,2.50597,0.867652
Leicester,Man City,0.284781,1.98438
Aston Villa,Fulham,1.52229,1.52172
Man United,Brighton,1.73474,1.41071
Newcastle,Tottenham,3.30098,2.43683
Southampton,Burnley,2.40272,1.50285
Everton,Crystal Palace,2.53386,0.603749
Wolves,West Ham,1.95649,1.59694
Fulham,Wolves,0.733154,0.428134
Crystal Palace,Chelsea,0.602167,3.85472
Liverpool,Aston Villa,2.14592,0.760621
Man City,Leeds,1.98825,0.17525
Burnley,Newcastle,1.84262,1.34279
Sheffield United,Arsenal,0.315121,1.93838
Tottenham,Man United,0.921801,2.09737
West Ham,Leicester,1.02408,1.17188
Brighton,Everton,1.16465,0.306287
West Brom,Southampton,2.77089,1.5002
Everton,Tottenham,2.26022,1.4815
Newcastle,West Ham,2.4314,2.06741
Wolves,Sheffield United,1.22604,0.295925
Arsenal,Fulham,2.85573,0.839128
Man United,Burnley,2.87455,0.959804
Leeds,Liverpool,2.59719,1.60043
Chelsea,Brighton,0.807348,0.459568
Aston Villa,Man City,0.801733,1.5634
Tottenham,Southampton,1.28824,1.06134
Leicester,West Brom,2.6712,0.277126
Arsenal,Everton,0.735767,0.529676
Liverpool,Newcastle,2.84708,0.860694
Sheffield United,Brighton,0.786324,2.06038
West Ham,Chelsea,0.267123,2.52059
Aston Villa,West Brom,2.65394,1.56764
Leeds,Man United,0.216834,1.11635
Wolves,Burnley,0.351673,2.24049
Leicester,Crystal Palace,1.23419,0.723112
Southampton,Leicester,0.954057,2.51518
Brighton,Leeds,2.52542,0.510874
Chelsea,Fulham,1.8433,0.290042
Crystal Palace,Man City,0.361866,2.04443
Everton,Aston Villa,1.223,1.58811
Newcastle,Arsenal,0.172988,1.78751
Tottenham,Sheffield United,2.26016,0.469026
Burnley,West Ham,1.68312,2.42477
West Brom,Wolves,1.07133,0.844138
Leicester,Newcastle,2.315,2.87261
Leeds,Tottenham,2.55216,1.03384
Liverpool,Southampton,2.26367,1.2289
Man City,Chelsea,1.79168,0.619724
Sheffield United,Crystal Palace,0.639325,2.25382
Arsenal,West Brom,1.07042,1.83076
Aston Villa,Man United,0.565472,1.88793
West Ham,Everton,1.09704,1.56222
Wolves,Brighton,1.1199,0.27571
Fulham,Burnley,0.778074,1.65831
Man United,Leicester,0.212874,0.991522
Southampton,Crystal Palace,1.58872,1.32586
Chelsea,Arsenal,1.56786,0.692043
Aston Villa,Everton,0.558976,0.975408
Man United,Liverpool,1.71328,2.938
Newcastle,Man City,2.18312,1.477
Brighton,West Ham,0.922587,1.92378
Burnley,Leeds,1.41338,1.85654
Southampton,Fulham,2.29146,0.875957
Crystal Palace,Aston Villa,1.95285,1.2303
Everton,Sheffield United,1.24609,1.391
Tottenham,Wolves,3.13947,1.09206
West Brom,Liverpool,1.14202,2.07854
Brighton,Man City,1.22824,1.07139
Chelsea,Leicester,2.86149,0.832596
Man United,Fulham,0.92243,0.872643
Southampton,Leeds,1.3084,1.58132
Burnley,Liverpool,0.837048,2.73316
Crystal Palace,Arsenal,0.998377,1.7945
Everton,Wolves,0.670997,0.265526
Newcastle,Sheffield United,1.82508,0.882242
Tottenham,Aston Villa,0.89279,1.63669
West Brom,West Ham,1.10741,3.56991
Arsenal,Brighton,0.772904,0.193968
Aston Villa,Chelsea,0.980413,3.43414
Fulham,Newcastle,0.98902,1.60157
Leeds,West Brom,2.49009,1.02209
Leicester,Tottenham,1.82554,1.85229
Liverpool,Crystal Palace,2.20348,0.772317
Man City,Everton,2.88355,1.07258
Sheffield United,Burnley,0.420006,0.558508
West Ham,Southampton,1.98344,1.35179
Wolves,Man United,0.701256,2.05229
